"Word"	"wordInItem"	"item"	"SurprisalReweighted"
"596"	"the"	6	"Filler_15"	0.7
"597"	"the"	6	"Filler_23"	1.422
"598"	"the"	6	"Filler_24"	1.8425
"599"	"the"	6	"Filler_26"	1.75075
"600"	"the"	6	"Filler_30"	1.04675
"601"	"the"	6	"Filler_37"	0.715875
"602"	"the"	6	"Filler_39"	1.836
"603"	"the"	6	"Filler_49"	1.21775
"604"	"the"	6	"Filler_55"	1.263125
"605"	"the"	6	"Filler_6"	1.7495
"606"	"the"	7	"Filler_12"	3.521
"607"	"the"	7	"Filler_25"	3.675125
"608"	"the"	7	"Filler_31"	3.746625
"609"	"the"	7	"Filler_43"	1.89325
"610"	"the"	7	"Filler_44"	1.554375
"611"	"the"	7	"Filler_45"	0.5185
"612"	"the"	7	"Filler_9"	1.4805
"613"	"the"	8	"Filler_14"	3.5435
"614"	"the"	8	"Filler_17"	1.11575
"615"	"the"	8	"Filler_19"	1.779875
"616"	"the"	8	"Filler_21"	2.373
"617"	"the"	8	"Filler_28"	0.60775
"618"	"the"	8	"Filler_29"	0.791125
"619"	"the"	8	"Filler_34"	3.462375
"620"	"the"	8	"Filler_35"	0.659
"621"	"the"	8	"Filler_36"	0.662375
"622"	"the"	8	"Filler_47"	1.30075
"623"	"the"	8	"Filler_51"	2.166625
"624"	"the"	8	"Filler_53"	6.307
"625"	"the"	8	"Filler_7"	1.528
"626"	"the"	10	"Filler_26"	7.771125
"627"	"the"	10	"Filler_37"	3.112375
"628"	"the"	10	"Filler_49"	1.190875
"629"	"the"	10	"Filler_55"	1.991
"630"	"the"	10	"Filler_8"	2.693
"631"	"the"	11	"Filler_19"	2.1245
"632"	"the"	11	"Filler_21"	1.744
"633"	"the"	11	"Filler_23"	1.198
"634"	"the"	11	"Filler_34"	2.091625
"635"	"the"	11	"Filler_47"	3.608875
"636"	"the"	12	"Filler_14"	3.642
"637"	"the"	12	"Filler_17"	1.474625
"638"	"the"	12	"Filler_28"	1.51725
"639"	"the"	12	"Filler_36"	1.313375
"640"	"the"	13	"Filler_37"	3.570875
"641"	"the"	13	"Filler_4"	2.78225
"642"	"the"	14	"Filler_21"	0.343125
"643"	"the"	14	"Filler_23"	2.44
"644"	"the"	14	"Filler_46"	0.036375
"645"	"the"	15	"Filler_24"	2.11625
"646"	"the"	15	"Filler_36"	2.286375
"647"	"the"	15	"Filler_55"	1.478125
"648"	"the"	16	"Filler_29"	3.01125
"649"	"the"	17	"Filler_47"	1.946375
"650"	"the"	18	"Filler_26"	0.24825
"651"	"the"	18	"Filler_34"	0.892875
"652"	"the"	18	"Filler_36"	0.647
"653"	"the"	18	"Filler_8"	1.504625
"654"	"the"	19	"Filler_17"	1.181
"655"	"the"	19	"Filler_37"	2.92625
"656"	"the"	20	"Filler_21"	0.193
"657"	"the"	21	"Filler_28"	1.09525
"658"	"the"	23	"Filler_55"	0.898375
"659"	"theater"	25	"Filler_55"	0.8505
"660"	"their"	21	"Filler_51"	1.719125
"661"	"then"	13	"Filler_55"	4.8725
"662"	"there"	9	"Filler_6"	3.36975
"663"	"they"	11	"Filler_51"	3.13075
"664"	"this"	6	"Filler_10"	5.656
"665"	"thought"	11	"Filler_43"	5.177
"666"	"threatened"	12	"Filler_51"	6.80925
"667"	"threw"	2	"Filler_45"	12.217
"668"	"through"	3	"Filler_5"	4.8535
"669"	"through"	16	"Filler_47"	0.46725
"670"	"time"	6	"Filler_16"	8.17575
"671"	"time"	12	"Filler_54"	0.037625
"672"	"to"	3	"Filler_2"	0.998625
"673"	"to"	4	"Filler_0"	1.062
"674"	"to"	6	"Filler_38"	2.688625
"675"	"to"	7	"Filler_53"	0.291125
"676"	"to"	10	"Filler_12"	6.07825
"677"	"to"	10	"Filler_23"	2.379625
"678"	"to"	11	"Filler_4"	0.327875
"679"	"to"	12	"Filler_12"	4.7625
"680"	"to"	13	"Filler_51"	0.6735
"681"	"to"	13	"Filler_54"	0.485375
"682"	"to"	14	"Filler_12"	0.794375
"683"	"to"	14	"Filler_41"	0.001625
"684"	"to"	15	"Filler_25"	2.802625
"685"	"to"	16	"Filler_44"	0.152625
"686"	"to"	17	"Filler_14"	1.143625
"687"	"to"	17	"Filler_6"	0.40825
"688"	"to"	18	"Filler_54"	0.560375
"689"	"to"	18	"Filler_55"	2.713375
"690"	"to"	20	"Filler_29"	0.005875
"691"	"to"	22	"Filler_36"	0.020125
"692"	"toilet"	19	"Filler_34"	5.272125
"693"	"too"	9	"Filler_4"	2.053375
"694"	"trainee"	1	"Filler_25"	11.683
"695"	"trash-can"	8	"Filler_45"	8.594125
"696"	"travels"	2	"Filler_2"	8.989
"697"	"tribe"	16	"Filler_24"	5.19875
"698"	"trying"	15	"Filler_44"	5.57725
"699"	"turtle"	6	"Filler_35"	9.159
"700"	"tutor"	2	"Filler_20"	6.542
"701"	"under"	13	"Filler_46"	2.99325
"702"	"until"	12	"Filler_49"	7.0425
"703"	"waitress"	11	"Filler_37"	7.767
"704"	"warden"	8	"Filler_44"	7.024375
"705"	"was"	2	"Filler_27"	3.905
"706"	"was"	3	"Filler_19"	3.078
"707"	"was"	3	"Filler_21"	3.892
"708"	"was"	3	"Filler_34"	2.085
"709"	"was"	4	"Filler_38"	1.719125
"710"	"was"	6	"Filler_14"	3.24575
"711"	"was"	6	"Filler_17"	2.14025
"712"	"was"	6	"Filler_29"	2.404125
"713"	"was"	6	"Filler_36"	2.707
"714"	"was"	7	"Filler_4"	1.40875
"715"	"was"	7	"Filler_40"	1.96175
"716"	"was"	7	"Filler_41"	1.59125
"717"	"was"	10	"Filler_31"	1.394375
"718"	"was"	10	"Filler_6"	0.500375
"719"	"was"	11	"Filler_46"	1.16725
"720"	"was"	12	"Filler_8"	2.281875
"721"	"was"	13	"Filler_25"	0.483375
"722"	"was"	14	"Filler_43"	0.751375
"723"	"was"	14	"Filler_47"	0.40225
"724"	"was"	15	"Filler_26"	0.883375
"725"	"was"	16	"Filler_17"	1.17675
"726"	"was"	16	"Filler_19"	1.78325
"727"	"was"	17	"Filler_23"	0.97925
"728"	"week"	7	"Filler_3"	2.7045
"729"	"week"	19	"Filler_25"	2.09775
"730"	"were"	3	"Filler_47"	4.432
"731"	"were"	3	"Filler_51"	3.806
"732"	"were"	6	"Filler_28"	3.206
"733"	"were"	10	"Filler_30"	1.321
"734"	"were"	20	"Filler_36"	1.101125
"735"	"whenever"	5	"Filler_32"	10.766
"736"	"which"	6	"Filler_25"	6.602
"737"	"which"	6	"Filler_31"	7.203625
"738"	"which"	8	"Filler_27"	7.703875
"739"	"while"	8	"Filler_30"	4.38725
"740"	"while"	10	"Filler_47"	9.062125
"741"	"while"	12	"Filler_26"	5.820125
"742"	"while"	13	"Filler_23"	6.8275
"743"	"who"	2	"Filler_14"	1.375
"744"	"who"	2	"Filler_19"	3.435
"745"	"who"	2	"Filler_21"	6.038
"746"	"who"	2	"Filler_23"	3.549
"747"	"who"	2	"Filler_26"	5.419
"748"	"who"	2	"Filler_29"	2.225
"749"	"who"	2	"Filler_34"	0.989
"750"	"who"	2	"Filler_36"	0.8
"751"	"who"	2	"Filler_37"	3.808
"752"	"who"	2	"Filler_43"	1.744
"753"	"who"	2	"Filler_44"	2.109
"754"	"who"	2	"Filler_46"	3.215
"755"	"who"	2	"Filler_47"	2.17
"756"	"who"	2	"Filler_49"	3.368
"757"	"who"	2	"Filler_51"	3.439
"758"	"who"	2	"Filler_53"	4.396
"759"	"who"	2	"Filler_55"	4.043
"760"	"who"	2	"Filler_8"	4.097125
"761"	"who"	5	"Filler_14"	2.68
"762"	"who"	5	"Filler_17"	4.588
"763"	"who"	5	"Filler_28"	3.199
"764"	"who"	5	"Filler_29"	8.468
"765"	"who"	5	"Filler_36"	4.339
"766"	"wife"	7	"Filler_13"	0.1155
"767"	"with"	9	"Filler_45"	4.888125
"768"	"with"	11	"Filler_29"	4.906625
"769"	"with"	11	"Filler_39"	2.4345
"770"	"with"	20	"Filler_51"	0.142375
"771"	"within"	17	"Filler_25"	4.80625
"772"	"woman"	1	"Filler_34"	6.824
"773"	"worked"	2	"Filler_5"	10.473
"774"	"worshipped"	10	"Filler_28"	12.963875
"775"	"would"	11	"Filler_41"	0.557875
"776"	"would"	13	"Filler_27"	1.738375
"777"	"would"	15	"Filler_54"	1.446125
"778"	"wounded"	2	"Filler_4"	10.966
"779"	"yard"	9	"Filler_17"	6.927375
"780"	"year"	7	"Filler_50"	1.405875
